partition,bvid,text,pred_label,pred_raw_label,model_confidence,prob_positive,prob_neutral,prob_negative,lexicon_score,pos_cnt,neg_cnt
学习区,BV1Kr4y1i7ru,我嘞个106人,中性,中性,0.7697555249397454,0.10378884857629017,0.7697555249397454,0.12645562648396433,0.0,0,0
学习区,BV1Kr4y1i7ru,113个,中性,中性,0.8199502754476405,0.10268622275668482,0.8199502754476405,0.07736350179567462,0.0,0,0
学习区,BV1Kr4y1i7ru,86人在卷,中性,中性,0.7535008439153578,0.12876606943415309,0.7535008439153578,0.11773308665048912,0.0,0,0
学习区,BV1Kr4y1i7ru,金融工程在,中性,中性,0.7709560058020317,0.11621800827566445,0.7709560058020317,0.11282598592230392,0.0,0,0
学习区,BV1Kr4y1i7ru,85个,中性,中性,0.8199502754476405,0.10268622275668482,0.8199502754476405,0.07736350179567462,0.0,0,0
学习区,BV1Kr4y1i7ru,"2025/1/14,晚上10.53开始学",中性,中性,0.8179736618962735,0.09573206282504544,0.8179736618962735,0.086294275278681,0.0,0,0
学习区,BV1Kr4y1i7ru,为了学习sql注入,中性,中性,0.6925613030827762,0.18876298890024493,0.6925613030827762,0.11867570801697896,0.0,0,0
学习区,BV1Kr4y1i7ru,又来了 家人们,中性,中性,0.8005195118240819,0.10565530722686085,0.8005195118240819,0.09382518094905716,0.0,0,0
学习区,BV1Kr4y1i7ru,50个卷狗,中性,中性,0.8057632622038623,0.10758888230834077,0.8057632622038623,0.08664785548779692,0.0,0,0
学习区,BV1Kr4y1i7ru,自动弹幕,中性,中性,0.7212752261079958,0.155099620527853,0.7212752261079958,0.12362515336415132,0.0,0,0
学习区,BV1Kr4y1i7ru,"学习,,",中性,中性,0.9281394147277271,0.03747096320792637,0.9281394147277271,0.03438962206434652,0.0,0,0
学习区,BV1Kr4y1i7ru,"升入POS西,站在技术",中性,中性,0.8523623146079112,0.07578246537905242,0.8523623146079112,0.07185522001303637,0.0,0,0
学习区,BV1Kr4y1i7ru,"工程师,",中性,中性,0.9116470293561747,0.04262067752402972,0.9116470293561747,0.045732293119795514,0.0,0,0
学习区,BV1Kr4y1i7ru,"运维,片,大数据库",中性,中性,0.8580183165109829,0.07660388901563069,0.8580183165109829,0.06537779447338628,0.0,0,0
学习区,BV1Kr4y1i7ru,"中级,,",中性,中性,0.9252186305972777,0.03582577644947058,0.9252186305972777,0.038955592953251725,0.0,0,0
学习区,BV1Kr4y1i7ru,"所扥,先关内容地城,",中性,中性,0.8518201609436844,0.0796314297140989,0.8518201609436844,0.0685484093422166,0.0,0,0
学习区,BV1Kr4y1i7ru,"业务开发,进阶,mysql春促,",中性,中性,0.7893812035805959,0.11242106176351642,0.7893812035805959,0.09819773465588763,0.0,0,0
学习区,BV1Kr4y1i7ru,"高手了,mysql,内容规划设计,",中性,中性,0.8376704777256893,0.10072109651129486,0.8376704777256893,0.061608425763015826,0.0,0,0
学习区,BV1Kr4y1i7ru,"日志管理,",中性,中性,0.9252186305972777,0.03582577644947058,0.9252186305972777,0.038955592953251725,0.0,0,0
学习区,BV1Kr4y1i7ru,"存储数据,",中性,中性,0.9252186305972777,0.03582577644947058,0.9252186305972777,0.038955592953251725,0.0,0,0
学习区,BV1Kr4y1i7ru,"pingjia,gouwuche1,",中性,中性,0.91412195269798,0.041813531080856295,0.91412195269798,0.04406451622116367,0.0,0,0
学习区,BV1Kr4y1i7ru,我王云斌实名学习,中性,中性,0.7859867236268144,0.09114121713176358,0.7859867236268144,0.12287205924142193,0.0,0,0
学习区,BV1Kr4y1i7ru,0基础来报道,中性,中性,0.7655069300106031,0.12545043710798487,0.7655069300106031,0.109042632881412,0.0,0,0
学习区,BV1Kr4y1i7ru,为什么大家那么卷,中性,中性,0.792359386521252,0.10795730436172309,0.792359386521252,0.09968330911702498,0.0,0,0
学习区,BV1Kr4y1i7ru,牛马们开始学习了,中性,中性,0.7409574274563537,0.15383363555357332,0.7409574274563537,0.10520893699007298,0.0,0,0
学习区,BV1Kr4y1i7ru,法学的来卷一下,中性,中性,0.7731098052366807,0.10132468314387603,0.7731098052366807,0.12556551161944335,0.0,0,0
学习区,BV1Kr4y1i7ru,张光宗实名学习,中性,中性,0.7640633420998297,0.14614235004226175,0.7640633420998297,0.08979430785790853,0.0,0,0
学习区,BV1Kr4y1i7ru,96个,中性,中性,0.8290436788117354,0.08882631036161963,0.8290436788117354,0.08213001082664495,0.0,0,0
学习区,BV1Kr4y1i7ru,卷密码呢卷,中性,中性,0.7839868185772473,0.10706880756127578,0.7839868185772473,0.10894437386147679,0.0,0,0
学习区,BV1Kr4y1i7ru,大早上这么多人卷吗~,中性,中性,0.76015063238783,0.12364943345578634,0.76015063238783,0.11619993415638367,0.0,0,0
学习区,BV1Kr4y1i7ru,带带我,中性,中性,0.7675938969928385,0.052337950337004516,0.7675938969928385,0.18006815267015694,0.0,0,0
学习区,BV1Kr4y1i7ru,有人吗,中性,中性,0.8566934096034214,0.06653221181383123,0.8566934096034214,0.07677437858274738,0.0,0,0
学习区,BV1Kr4y1i7ru,收费吗,中性,中性,0.8566934096034214,0.06653221181383123,0.8566934096034214,0.07677437858274738,0.0,0,0
学习区,BV1Kr4y1i7ru,需要掏钱吗,中性,中性,0.8372806569934551,0.0768137658557125,0.8372806569934551,0.0859055771508325,0.0,0,0
学习区,BV1Kr4y1i7ru,144个人在卷,中性,中性,0.7628345564565265,0.12025350547173874,0.7628345564565265,0.11691193807173478,0.0,0,0
学习区,BV1Kr4y1i7ru,106个卷王,中性,中性,0.8057632622038623,0.10758888230834077,0.8057632622038623,0.08664785548779692,0.0,0,0
学习区,BV1Kr4y1i7ru,114个卷王,中性,中性,0.7524360360087298,0.14342462487352337,0.7524360360087298,0.10413933911774693,0.0,0,0
学习区,BV1Kr4y1i7ru,2024,中性,中性,0.7870155631554939,0.09310323389983959,0.7870155631554939,0.11988120294466657,0.0,0,0
学习区,BV1Kr4y1i7ru,张旭扬别卷了,中性,中性,0.7627106684434969,0.12111335996063341,0.7627106684434969,0.11617597159586969,0.0,0,0
学习区,BV1Kr4y1i7ru,大家别卷了,中性,中性,0.7751029317668137,0.11944251193272107,0.7751029317668137,0.10545455630046525,0.0,0,0
学习区,BV1Kr4y1i7ru,57人在卷,中性,中性,0.7641477019576166,0.12220223180100125,0.7641477019576166,0.11365006624138214,0.0,0,0
学习区,BV1Kr4y1i7ru,113个卷王,中性,中性,0.8057632622038623,0.10758888230834077,0.8057632622038623,0.08664785548779692,0.0,0,0
学习区,BV1Kr4y1i7ru,这么多人在学吗,中性,中性,0.7547207814286976,0.12977746749209235,0.7547207814286976,0.11550175107921021,0.0,0,0
学习区,BV1Kr4y1i7ru,61个人在卷,中性,中性,0.7681456034105648,0.11516217822909257,0.7681456034105648,0.11669221836034253,0.0,0,0
学习区,BV1Kr4y1i7ru,第一天,中性,中性,0.7388326542270112,0.13147013216913678,0.7388326542270112,0.12969721360385195,0.0,0,0
学习区,BV1Kr4y1i7ru,"++6qawzesxrdcfvgubhijnok mpl ,[;.'/",中性,中性,0.9252186305972777,0.03582577644947058,0.9252186305972777,0.038955592953251725,0.0,0,0
学习区,BV1Kr4y1i7ru,学过但基本全忘了,中性,中性,0.7780557375390663,0.11678032216977678,0.7780557375390663,0.10516394029115685,0.0,0,0
学习区,BV1Kr4y1i7ru,52个,中性,中性,0.8199502754476405,0.10268622275668482,0.8199502754476405,0.07736350179567462,0.0,0,0
学习区,BV1Kr4y1i7ru,"黑马出品,艺术精品",中性,中性,0.831658011293936,0.09532770068261381,0.831658011293936,0.0730142880234501,0.0,0,0
学习区,BV1Kr4y1i7ru,小方块半实名学习,中性,中性,0.7350258675878093,0.1660775042818556,0.7350258675878093,0.09889662813033491,0.0,0,0
学习区,BV1Kr4y1i7ru,最后一集等你们,中性,中性,0.8419812849246003,0.06987649755467824,0.8419812849246003,0.08814221752072139,0.0,0,0
学习区,BV1Kr4y1i7ru,苦漫虑签到,中性,中性,0.7086265073342264,0.14895664266140365,0.7086265073342264,0.14241685000437002,0.0,0,0
学习区,BV1Kr4y1i7ru,统统卷走,中性,中性,0.7839868185772473,0.10706880756127578,0.7839868185772473,0.10894437386147679,0.0,0,0
学习区,BV1Kr4y1i7ru,真的吗,中性,中性,0.8269360881869923,0.08923348455618144,0.8269360881869923,0.08383042725682614,0.0,0,0
学习区,BV1Kr4y1i7ru,jyl来打卡,中性,中性,0.7394518086298837,0.15344982496658943,0.7394518086298837,0.10709836640352684,0.0,0,0
学习区,BV1Kr4y1i7ru,学了Java来这里,中性,中性,0.7655069300106031,0.12545043710798487,0.7655069300106031,0.109042632881412,0.0,0,0
学习区,BV1Kr4y1i7ru,75个了,中性,中性,0.7615252305797392,0.13895748618417422,0.7615252305797392,0.09951728323608647,0.0,0,0
学习区,BV1Kr4y1i7ru,菜徐村小黑子来学习,中性,中性,0.7617585916858315,0.1457846420146908,0.7617585916858315,0.09245676629947784,0.0,0,0
学习区,BV1Kr4y1i7ru,最后见,中性,中性,0.8777032729149054,0.05219795406809964,0.8777032729149054,0.07009877301699502,0.0,0,0
学习区,BV1Kr4y1i7ru,开始,中性,中性,0.7877174488302623,0.10449769541505044,0.7877174488302623,0.10778485575468728,0.0,0,0
学习区,BV1Kr4y1i7ru,74个卷王,中性,中性,0.7965543400174184,0.11010198208286483,0.7965543400174184,0.09334367789971675,0.0,0,0
学习区,BV1Kr4y1i7ru,"妖怪,你哪里跑",中性,中性,0.8135408490046008,0.12463719880480555,0.8135408490046008,0.061821952190593686,0.0,0,0
学习区,BV1Kr4y1i7ru,孙悟空来了,中性,中性,0.7614862231638164,0.13009052014398698,0.7614862231638164,0.1084232566921965,0.0,0,0
学习区,BV1Kr4y1i7ru,佳佳到此一游,中性,中性,0.7086265073342264,0.14895664266140365,0.7086265073342264,0.14241685000437002,0.0,0,0
学习区,BV1Kr4y1i7ru,复习,中性,中性,0.8252919342442535,0.07966321522738347,0.8252919342442535,0.09504485052836303,0.0,0,0
